Cosmic Time [Gyr],SFR [Msun/yr],Metallicity
3.62350000,54.51004344,0.02264607
3.63550000,55.57954147,0.02267720
3.64750000,56.66972836,0.02235637
3.65950000,55.62749987,0.02220372
3.67150000,54.32672601,0.02244350
3.68350000,51.18318880,0.02262357
3.69550000,50.76348569,0.02296332
3.70750000,50.48232320,0.02296134
3.71950000,49.75083522,0.02275471
3.73150000,50.54879291,0.02284286
3.74350000,52.33314640,0.02275802
3.75550000,52.75115150,0.02279610
3.76750000,53.05852507,0.02262029
3.77950000,54.51293036,0.02237460
3.79150000,54.34635035,0.02184174
3.80350000,54.80093533,0.02162573
3.81550000,56.27068208,0.02150085
3.82750000,57.10322948,0.02161213
3.83950000,56.21962129,0.02161517
3.85150000,54.51562322,0.02163096
3.86350000,51.07187071,0.02217583
3.87550000,48.65701826,0.02257027
3.88750000,45.75810417,0.02304137
3.89950000,43.81581181,0.02324716
3.91150000,40.67150687,0.02353501
3.92350000,40.48493915,0.02373542
3.93550000,39.81247234,0.02396782
3.94750000,40.57783429,0.02394061
3.95950000,41.31550103,0.02365020
3.97150000,41.06487093,0.02357462
3.98350000,40.02672644,0.02345701
3.99550000,40.24261727,0.02351629
4.00750000,39.42490676,0.02313229
4.01950000,39.71703680,0.02336906
4.03150000,40.69926498,0.02321341
4.04350000,41.56437368,0.02348668
4.05550000,41.23086759,0.02393898
4.06750000,40.50381153,0.02404350
4.07950000,40.31621090,0.02425282
4.09150000,40.77012159,0.02419637
4.10350000,41.77805171,0.02417932
4.11550000,44.07628921,0.02409066
4.12750000,44.37836775,0.02373632
4.13950000,45.32656788,0.02326010
4.15150000,44.57639809,0.02283459
4.16350000,44.60818204,0.02301822
4.17550000,44.05982010,0.02295302
4.18750000,43.55081769,0.02272939
4.19950000,43.01910435,0.02249930
4.21150000,42.82694367,0.02282862
4.22350000,42.78400724,0.02296420
4.23550000,42.79096990,0.02357748
4.24750000,42.68919104,0.02356465
4.25950000,42.39481961,0.02384331
4.27150000,42.53074785,0.02368243
4.28350000,43.50778333,0.02349767
4.29550000,43.02042882,0.02323392
4.30750000,44.08237080,0.02324646
4.31950000,43.51752138,0.02280848
4.33150000,45.23272089,0.02274769
4.34350000,46.84498992,0.02316982
4.35550000,47.37600601,0.02313359
4.36750000,46.10345802,0.02313156
4.37950000,44.99651538,0.02386709
4.39150000,42.09078166,0.02432618
4.40350000,40.43293016,0.02501479
4.41550000,39.43332983,0.02547355
4.42750000,37.69072705,0.02598196
4.43950000,36.49371045,0.02632084
4.45150000,35.76490199,0.02637123
4.46350000,35.18661431,0.02633238
4.47550000,35.59682690,0.02623260
4.48750000,36.20496302,0.02584850
4.49950000,37.16847245,0.02549861
4.51150000,40.87690491,0.02530462
4.52350000,43.48865435,0.02505871
4.53550000,47.24264304,0.02504955
4.54750000,49.93016021,0.02478830
4.55950000,50.98319809,0.02465840
4.57150000,52.56365942,0.02469164
4.58350000,53.04924506,0.02439260
4.59550000,55.14651485,0.02440022
4.60750000,56.53924194,0.02409618
4.61950000,57.80279126,0.02401929
4.63150000,57.67097036,0.02391498
4.64350000,58.48858179,0.02398619
4.65550000,58.59827777,0.02382656
4.66750000,58.85569435,0.02360010
4.67950000,59.08314589,0.02384016
4.69150000,57.29812976,0.02376195
4.70350000,58.65614962,0.02398281
4.71550000,60.86829353,0.02427429
4.72750000,61.51502215,0.02468635
4.73950000,62.57724469,0.02476815
4.75150000,61.20522395,0.02481497
4.76350000,63.07507412,0.02504158
4.77550000,63.76902179,0.02520904
4.78750000,63.78653491,0.02514102
4.79950000,63.72980378,0.02501659
4.81150000,62.08989046,0.02457906
4.82350000,58.95650130,0.02436924
4.83550000,58.32399733,0.02419507
4.84750000,58.54269105,0.02365590
4.85950000,56.96707976,0.02338117
4.87150000,55.75736873,0.02326750
4.88350000,56.29197864,0.02308143
4.89550000,58.51400917,0.02337422
4.90750000,60.46722551,0.02357357
4.91950000,60.80408007,0.02346796
4.93150000,65.44914141,0.02336638
4.94350000,67.62803006,0.02364075
4.95550000,71.25327485,0.02360663
4.96750000,73.39898968,0.02360572
4.97950000,79.00399853,0.02362132
4.99150000,83.16307648,0.02356943
5.00350000,85.86149675,0.02351336
5.01550000,86.96165065,0.02347800
5.02750000,88.10851617,0.02348620
5.03950000,84.91821788,0.02308400
5.05150000,79.96554457,0.02309010
5.06350000,76.23923308,0.02347287
5.07550000,72.07664608,0.02366348
5.08750000,66.44702209,0.02423816
5.09950000,61.14048881,0.02436837
5.11150000,57.68918713,0.02437948
5.12350000,52.81875102,0.02442762
5.13550000,49.56808139,0.02450981
5.14750000,49.76392800,0.02445488
5.15950000,50.44908006,0.02470362
5.17150000,54.11972037,0.02495381
5.18350000,57.59495846,0.02485930
5.19550000,61.50382026,0.02477025
